V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
26080.75;71402.45;120307.64;85597.99;58697.89;22453.00;14301.50;8000.03;3885.67;2341.40;752.30;506.77;984.47;150.59;-92.72;73.25;55.53;316.72;803.03;540.65;630.53;1871.02;57.33;87.94;344.04;-9.13;-73.67;195.81;-174.46;325.22;804.54;-60.35;149.05;260.32;-16.91;48.22;-77.26;280.48
11590.01;32395.75;54419.78;38029.11;25863.34;10075.39;6287.22;3646.30;1918.18;1377.40;407.62;277.33;99.66;110.43;129.91;-76.30;61.86;-146.01;266.04;242.25;333.49;807.64;-22.46;194.24;157.38;231.51;-40.39;-8.40;119.34;-61.17;387.93;68.74;270.36;515.57;190.77;145.20;167.15;35.24
16827.29;53845.67;89338.53;62529.66;42812.88;16489.54;10236.71;6479.97;3213.40;1992.18;824.54;607.09;269.59;243.45;-45.69;296.66;-70.88;173.45;554.63;440.93;58.59;913.87;77.44;367.80;322.24;55.84;137.24;-84.38;-19.94;141.31;625.79;237.10;83.67;532.80;-268.46;8.28;-11.05;-27.45
12171.15;36195.07;59135.47;42413.99;28108.59;11059.11;7053.35;4345.45;2160.15;1305.88;781.92;604.07;367.42;126.96;59.81;-53.32;126.88;145.44;548.01;228.95;136.04;1005.22;29.21;379.68;220.31;-103.80;-196.24;-62.22;195.44;76.74;264.18;53.76;268.07;176.64;56.62;-62.41;20.91;-295.94
12374.09;35609.28;60761.43;42603.96;29323.48;11282.24;7004.81;4129.29;2333.27;1256.11;618.45;323.84;261.01;-34.68;-93.40;-54.37;125.19;208.68;274.23;322.46;316.81;525.55;21.92;32.47;410.24;305.57;64.65;332.81;192.80;-36.26;234.96;-159.43;95.41;370.54;-101.78;62.74;115.96;-168.43
4458.47;1397.57;1899.00;1731.03;2253.87;1544.30;1097.56;1269.93;717.34;446.46;376.41;261.73;215.44;213.84;-120.22;35.40;101.26;293.78;394.47;408.88;317.36;652.92;140.79;261.96;602.76;389.08;78.48;-71.78;-24.42;188.68;440.66;262.41;568.04;326.50;108.79;152.63;412.18;458.25
12403.60;35532.77;59054.36;40972.79;28127.57;10869.89;6842.99;3958.27;2171.21;1207.45;527.26;488.36;434.35;110.60;-11.93;37.73;100.57;110.99;239.09;252.01;186.33;957.43;137.58;112.92;442.80;-54.13;93.87;179.17;-141.68;9.47;309.60;-97.07;218.94;119.23;-40.41;49.25;271.58;159.74
4139.07;1656.00;1823.37;1989.76;2214.06;1531.51;1213.44;997.31;809.13;862.54;523.52;392.27;143.35;74.21;-64.00;-139.15;162.13;200.89;-9.27;193.32;68.52;1256.40;66.57;35.80;207.05;37.15;-42.10;-15.72;-25.02;2.97;495.57;-22.33;255.31;641.63;195.59;60.40;373.22;279.22
12871.75;36402.55;61874.91;43381.60;29552.21;11063.75;7044.01;4037.99;1987.24;1313.61;603.72;455.29;452.01;381.91;129.23;114.88;171.53;171.07;67.64;194.32;500.14;958.02;216.96;-32.47;162.69;-132.66;-9.22;-17.08;15.97;-58.08;256.11;169.16;90.73;79.26;71.92;-74.14;79.38;-128.00
4432.85;1534.54;2056.49;1811.30;2687.30;1532.91;1269.18;1234.34;612.41;885.00;162.52;280.05;119.24;203.96;-20.05;-24.19;142.01;37.53;305.19;337.39;213.67;890.32;207.86;290.96;-145.07;103.12;-65.24;166.04;-151.89;109.32;195.86;134.79;343.19;256.14;117.65;84.51;216.30;491.50
